Shifted Time (s),AxialRotation Angle IMU (degrees)
95.003,-2.7683772130574735
95.013,-2.7578873037640323
95.02199999999999,-2.742395722557606
95.032,-2.7294664693263853
95.04299999999999,-2.718367543958456
95.053,-2.7072689463416952
95.063,-2.7016606763638396
95.072,-2.6971507339124154
95.082,-2.697643118874776
95.092,-2.696915831138069
95.103,-2.695212870589215
95.113,-2.692656237114992
95.123,-2.691319930601892
95.132,-2.6868119509362804
95.142,-2.6842562980043034
95.152,-2.6829209716919338
95.163,-2.6825619718849922
95.173,-2.6763472984691665
95.182,-2.670193951329904
95.192,-2.667029930352477
95.202,-2.665086235422081
95.213,-2.6647288664236073
95.223,-2.6640058232417143
95.233,-2.658403105760965
95.242,-2.6528007138657053
95.252,-2.6508586474401854
95.262,-2.6483069063684885
95.273,-2.650635490534539
95.283,-2.653564399822125
95.292,-2.657287634114814
95.30199999999999,-2.660827193295991
95.312,-2.6649770772489414
95.322,-2.6672972858566433
95.333,-2.6743138190019917
95.341,-2.672984676567725
95.352,-2.671960858436313
95.362,-2.666362364490137
95.372,-2.6625941946113487
95.382,-2.6563863486820347
95.393,-2.6473118265840916
95.401,-2.6406166281992545
95.41199999999999,-2.6302007534091145
95.422,-2.6136242020950253
95.432,-2.586077974138264
95.442,-2.5542620694199365
95.451,-2.529460487820987
95.462,-2.4962432292221433
95.472,-2.453448293504098
95.482,-2.3984636805471675
95.492,-2.3270093902316757
95.503,-2.233425422437858
95.511,-2.1555097770456033
95.52199999999999,-2.048506453934825
95.532,-1.9502234529850648
95.542,-1.8385307740759163
95.55199999999999,-1.6981784170868965
95.56099999999999,-1.5614293818968776
95.571,-1.4021776683849327
95.582,-1.2287802764300861
95.592,-1.0530692059107236
95.602,-0.8645484567054267
95.611,-0.6921250286926295
95.621,-0.5042149217505094
95.631,-0.3205751357566009
95.642,-0.1190086705890695
95.652,0.060970473874831566
95.66199999999999,0.23911929775738705
95.67099999999999,0.40769780118178567
95.681,0.5992659842709714
95.692,0.8082118471478239
95.702,1.002829389936075
95.712,1.192566612759
95.721,1.36004551574019
95.731,1.5375820990033706
95.741,1.707198362672889
95.752,1.8926683068725199
95.762,2.056793931726906
95.77199999999999,2.224579237360217
