participant,movement,device,prop_harmful,time_harmful,range_of_motion
1.0,axial,imu,0.21235916695117787,6.22,131.9548731025266
1.0,axial,mocap,0.4400819392284056,12.89,163.38164023655065
1.0,flexion,imu,0.25261932479627475,8.68,85.71329474593443
1.0,flexion,mocap,0.28143189755529685,9.67,87.63138403033841
1.0,lateral,imu,0.0,0.0,97.10381829628622
1.0,lateral,mocap,0.0,0.0,100.67405720320296
2.0,axial,imu,0.16044776119402984,5.16,150.86607038563994
2.0,axial,mocap,0.20335820895522388,6.54,165.73208417581742
2.0,flexion,imu,0.19295958279009126,7.4,89.95369650545265
2.0,flexion,mocap,0.19139504563233375,7.34,86.93947784617878
2.0,lateral,imu,0.0,0.0,66.9086456101216
2.0,lateral,mocap,0.0,0.0,71.63457782397867
3.0,axial,imu,0.2616580310880829,7.07,156.27623463844498
3.0,axial,mocap,0.2753515914137676,7.44,169.0864186844795
3.0,flexion,imu,0.28766763081777547,10.94,97.00560329869357
3.0,flexion,mocap,0.20641598737838548,7.8500000000000005,86.19749272759168
3.0,lateral,imu,0.0,0.0,85.25028066245704
3.0,lateral,mocap,0.0,0.0,75.43664530693536
4.0,axial,imu,0.07843814789219074,2.27,122.82718064802256
4.0,axial,mocap,0.27194194885970974,7.87,154.3491542263872
4.0,flexion,imu,0.22767181350287619,7.5200000000000005,104.84129910336682
4.0,flexion,mocap,0.19981834695731154,6.6000000000000005,99.10741254694159
4.0,lateral,imu,0.0,0.0,93.75291311304241
4.0,lateral,mocap,0.0,0.0,93.7331085495399
5.0,flexion,imu,0.25896516393442626,10.11,105.40488800334933
5.0,flexion,mocap,0.25589139344262296,9.99,125.85051560580155
5.0,lateral,imu,0.0,0.0,105.7591419484763
5.0,lateral,mocap,0.0,0.0,107.63084190245533
7.0,axial,imu,0.20729070126660487,6.71,133.0054468431124
7.0,axial,mocap,0.3540315106580167,11.46,159.70738233841234
7.0,flexion,imu,0.21122112211221122,7.68,99.05411343284067
7.0,flexion,mocap,0.20929592959295928,7.61,94.20526072052756
7.0,lateral,imu,0.0,0.0,94.04290568886276
7.0,lateral,mocap,0.0,0.0,74.54304049094472
9.0,axial,imu,0.39497188223618923,11.94,175.06814354764185
9.0,axial,mocap,0.42209725438306317,12.76,199.32990685407322
9.0,flexion,imu,0.11582900057770075,4.01,89.6652493327226
9.0,flexion,mocap,0.1146735990756788,3.97,87.8569715870515
9.0,lateral,imu,0.0,0.0,71.57506680629731
9.0,lateral,mocap,0.0,0.0,84.79934114731773
10.0,axial,imu,0.356348167539267,10.89,151.92862154320042
10.0,axial,mocap,0.3841623036649215,11.74,173.4012479044841
10.0,flexion,imu,0.3230573248407643,12.68,97.93783315448154
10.0,flexion,mocap,0.30904458598726114,12.13,96.41144628343389
10.0,lateral,imu,0.0,0.0,87.97073450631325
